R_in,V_out
10,0.5755
10,0.5746
10,0.574
10,0.5757
10,0.5762
10,0.5757
10,0.5746
10,0.5755
10,0.5748
10,0.5753
100,0.5893
100,0.5892
100,0.5884
100,0.5889
100,0.5867
100,0.5892
100,0.5889
100,0.589
1000,0.7262
1000,0.7279
,0.7274
,
,
,0.728
,0.7295
